                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82836,                 2.3066,                0.89392,                0.41723,                0.89864,                0.56606,                0.49152,                    nan,                    nan,                    nan,             0.00047376,             0.00047376,             0.00047376
                      2,                0.65647,                 1.4454,                 0.8493,                0.49074,                0.84281,                0.70083,                0.61983,                    nan,                    nan,                    nan,             0.00091247,             0.00091247,             0.00091247
                      3,                0.63599,                 1.2101,                0.84922,                0.51132,                0.75406,                0.68422,                0.60096,                    nan,                    nan,                    nan,              0.0013135,              0.0013135,              0.0013135
                      4,                0.61912,                 1.0996,                0.84942,                  0.584,                0.84491,                 0.7243,                0.63433,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                      5,                0.60825,                 1.0338,                0.84791,                0.63677,                0.73896,                0.74442,                0.67084,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                      6,                0.58918,                0.96995,                0.83971,                0.73859,                0.67432,                0.74257,                0.66897,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                      7,                0.59113,                0.94947,                0.84471,                0.65392,                0.81961,                0.77236,                0.68648,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                      8,                0.58005,                0.91516,                0.84267,                0.69188,                0.81713,                 0.7981,                0.71732,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                      9,                0.58242,                0.89837,                0.84155,                0.68021,                0.83783,                0.79959,                0.71796,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     10,                 0.5592,                0.86548,                0.83837,                0.56581,                0.82793,                0.77489,                  0.697,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     11,                0.56206,                0.85725,                 0.8386,                0.62975,                0.85617,                0.78094,                0.70205,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     12,                0.55667,                0.84529,                0.84069,                0.65957,                0.77015,                  0.788,                 0.7101,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     13,                0.55795,                0.80371,                0.84298,                 0.6659,                0.83476,                0.82808,                0.75157,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     14,                0.55471,                 0.7918,                0.84154,                0.63215,                0.80697,                0.78363,                0.71392,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     15,                0.54186,                0.78062,                0.83329,                0.72151,                0.78948,                0.81498,                0.74028,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     16,                0.52164,                0.76183,                0.83355,                0.71982,                0.77334,                0.81579,                 0.7389,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     17,                0.51966,                0.73993,                0.82827,                0.72573,                0.78692,                0.81939,                0.74271,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     18,                0.51502,                0.71468,                0.82653,                0.71338,                0.78877,                  0.808,                0.73715,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     19,                0.50712,                0.69549,                0.82862,                0.72347,                  0.786,                0.82069,                0.74436,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     20,                0.51276,                0.66932,                 0.8282,                 0.6829,                0.84396,                0.83256,                0.75926,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     21,                0.50787,                0.66154,                0.82213,                0.75983,                0.80037,                0.84892,                0.77469,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     22,                0.50118,                0.62975,                0.82403,                 0.7444,                0.81142,                0.84251,                0.76564,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     23,                0.49945,                0.60996,                0.82338,                0.73702,                0.76925,                0.84325,                0.76617,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     24,                0.49257,                0.59565,                0.82247,                0.80104,                0.79742,                0.85876,                0.78318,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     25,                0.49169,                0.57181,                0.82455,                 0.7387,                0.84741,                0.85215,                0.77996,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
