                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7156,                 2.2332,                 0.8569,                0.43048,                0.90198,                0.60512,                0.52626,                    nan,                    nan,                    nan,             0.00047376,             0.00047376,             0.00047376
                      2,                0.63528,                  1.429,                 0.8444,                0.59293,                0.74114,                0.74565,                0.64595,                    nan,                    nan,                    nan,             0.00091247,             0.00091247,             0.00091247
                      3,                0.62244,                 1.2057,                 0.8476,                0.68906,                0.75444,                0.78413,                0.69216,                    nan,                    nan,                    nan,              0.0013135,              0.0013135,              0.0013135
                      4,                0.60163,                 1.0685,                0.84578,                0.65733,                0.75487,                0.78922,                0.69696,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                      5,                0.59233,                0.97751,                0.84465,                0.63711,                0.80336,                0.80674,                0.72034,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                      6,                0.57216,                0.92507,                0.83825,                0.67663,                0.81785,                0.79642,                0.71228,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                      7,                0.58006,                 0.8963,                 0.8445,                0.70203,                0.73243,                0.79017,                0.70754,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                      8,                0.56862,                0.86216,                0.84014,                0.69968,                0.85129,                0.83121,                0.74985,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                      9,                0.57511,                0.85069,                0.83951,                0.70619,                0.77512,                0.83295,                0.75195,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     10,                0.55618,                0.80284,                0.83545,                0.70906,                0.73858,                0.83179,                0.74615,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     11,                0.55696,                0.80999,                0.83916,                0.74126,                 0.8217,                0.83084,                0.75386,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     12,                0.54938,                0.78204,                0.83955,                0.75126,                0.78949,                  0.819,                0.74412,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     13,                0.54762,                0.76161,                0.83967,                0.77572,                0.77947,                0.85498,                 0.7746,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     14,                  0.547,                0.75184,                0.83978,                0.68692,                0.79383,                0.83667,                0.76117,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     15,                0.53418,                0.72639,                0.83064,                0.79632,                0.79377,                0.84488,                0.76749,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     16,                0.51935,                0.70569,                0.83615,                0.72927,                0.80536,                0.84459,                0.76643,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     17,                0.51814,                  0.677,                0.83153,                0.77044,                0.76644,                0.85607,                0.77373,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     18,                  0.512,                0.66982,                0.83074,                0.74468,                0.82192,                0.85678,                0.77823,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     19,                0.50441,                0.65314,                0.83396,                0.73945,                 0.8417,                0.85521,                0.77988,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     20,                0.50541,                0.62188,                0.83029,                 0.7042,                0.87439,                0.84389,                0.76997,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     21,                0.50346,                0.60352,                0.82703,                0.81429,                0.82698,                0.87545,                0.79632,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     22,                0.49768,                0.58133,                0.82892,                0.73471,                0.90553,                0.87974,                 0.8005,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     23,                0.49849,                0.56575,                0.82849,                0.75724,                0.86543,                0.88304,                0.80513,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     24,                 0.4901,                0.55366,                0.82683,                0.78624,                0.86436,                0.88811,                0.81203,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     25,                0.49172,                0.52364,                0.82975,                0.81496,                0.83059,                0.88778,                0.81069,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
